area_name,area_code,date,new_cases,total_cases
Kensington and Chelsea,E09000020,2021-05-15,1,9134
Kingston upon Thames,E09000021,2021-05-15,11,12366
Lambeth,E09000022,2021-05-15,10,24392
Lewisham,E09000023,2021-05-15,3,21798
Merton,E09000024,2021-05-15,3,16339
Newham,E09000025,2021-05-15,6,35716
Redbridge,E09000026,2021-05-15,8,33061
Richmond upon Thames,E09000027,2021-05-15,1,10947
Southwark,E09000028,2021-05-15,5,22562
Sutton,E09000029,2021-05-15,3,16006
Tower Hamlets,E09000030,2021-05-15,3,29049
Waltham Forest,E09000031,2021-05-15,1,25024
Wandsworth,E09000032,2021-05-15,5,22363
Westminster,E09000033,2021-05-15,4,14397
Barking and Dagenham,E09000002,2021-05-16,2,23693
Barnet,E09000003,2021-05-16,4,30641
Bexley,E09000004,2021-05-16,4,22474
Brent,E09000005,2021-05-16,9,28838
Bromley,E09000006,2021-05-16,9,24490
Camden,E09000007,2021-05-16,2,14220
Croydon,E09000008,2021-05-16,21,31131
Ealing,E09000009,2021-05-16,18,31487
Enfield,E09000010,2021-05-16,4,29903
Greenwich,E09000011,2021-05-16,9,22569
Hackney and City of London,E09000012,2021-05-16,6,21782
Hammersmith and Fulham,E09000013,2021-05-16,5,13127
Haringey,E09000014,2021-05-16,9,20936
Harrow,E09000015,2021-05-16,6,21039
Havering,E09000016,2021-05-16,5,26963
Hillingdon,E09000017,2021-05-16,11,26866
Hounslow,E09000018,2021-05-16,12,25242
Islington,E09000019,2021-05-16,2,15097
Kensington and Chelsea,E09000020,2021-05-16,1,9135
Kingston upon Thames,E09000021,2021-05-16,6,12372
Lambeth,E09000022,2021-05-16,18,24410
Lewisham,E09000023,2021-05-16,2,21800
Merton,E09000024,2021-05-16,4,16343
Newham,E09000025,2021-05-16,7,35723
Redbridge,E09000026,2021-05-16,4,33065
Richmond upon Thames,E09000027,2021-05-16,3,10950
Southwark,E09000028,2021-05-16,2,22564
Sutton,E09000029,2021-05-16,3,16009
Tower Hamlets,E09000030,2021-05-16,3,29052
Waltham Forest,E09000031,2021-05-16,4,25028
Wandsworth,E09000032,2021-05-16,6,22369
Westminster,E09000033,2021-05-16,4,14401
Barking and Dagenham,E09000002,2021-05-17,4,23697
Barnet,E09000003,2021-05-17,8,30649
Bexley,E09000004,2021-05-17,6,22480
Brent,E09000005,2021-05-17,6,28844
Bromley,E09000006,2021-05-17,20,24510
Camden,E09000007,2021-05-17,9,14229
Croydon,E09000008,2021-05-17,24,31155
Ealing,E09000009,2021-05-17,31,31518
Enfield,E09000010,2021-05-17,9,29912
Greenwich,E09000011,2021-05-17,9,22578
Hackney and City of London,E09000012,2021-05-17,6,21788
Hammersmith and Fulham,E09000013,2021-05-17,6,13133
Haringey,E09000014,2021-05-17,8,20944
Harrow,E09000015,2021-05-17,12,21051
Havering,E09000016,2021-05-17,2,26965
Hillingdon,E09000017,2021-05-17,24,26890
Hounslow,E09000018,2021-05-17,23,25265
Islington,E09000019,2021-05-17,5,15102
Kensington and Chelsea,E09000020,2021-05-17,5,9140
Kingston upon Thames,E09000021,2021-05-17,10,12382
Lambeth,E09000022,2021-05-17,25,24435
Lewisham,E09000023,2021-05-17,10,21810
Merton,E09000024,2021-05-17,2,16345
Newham,E09000025,2021-05-17,8,35731
Redbridge,E09000026,2021-05-17,11,33076
Richmond upon Thames,E09000027,2021-05-17,7,10957
Southwark,E09000028,2021-05-17,8,22572
Sutton,E09000029,2021-05-17,5,16014
Tower Hamlets,E09000030,2021-05-17,4,29056
Waltham Forest,E09000031,2021-05-17,11,25039
Wandsworth,E09000032,2021-05-17,4,22373
Westminster,E09000033,2021-05-17,2,14403
Barking and Dagenham,E09000002,2021-05-18,5,23702
Barnet,E09000003,2021-05-18,6,30655
Bexley,E09000004,2021-05-18,10,22490
Brent,E09000005,2021-05-18,15,28859
Bromley,E09000006,2021-05-18,10,24520
Camden,E09000007,2021-05-18,0,14229
Croydon,E09000008,2021-05-18,19,31174
Ealing,E09000009,2021-05-18,26,31544
Enfield,E09000010,2021-05-18,8,29920
Greenwich,E09000011,2021-05-18,11,22589
Hackney and City of London,E09000012,2021-05-18,5,21793
Hammersmith and Fulham,E09000013,2021-05-18,11,13144
Haringey,E09000014,2021-05-18,8,20952
Harrow,E09000015,2021-05-18,8,21059
Havering,E09000016,2021-05-18,1,26966
Hillingdon,E09000017,2021-05-18,31,26921
Hounslow,E09000018,2021-05-18,19,25284
Islington,E09000019,2021-05-18,8,15110
Kensington and Chelsea,E09000020,2021-05-18,9,9149
Kingston upon Thames,E09000021,2021-05-18,11,12393
Lambeth,E09000022,2021-05-18,16,24451
Lewisham,E09000023,2021-05-18,7,21817
Merton,E09000024,2021-05-18,2,16347
Newham,E09000025,2021-05-18,10,35741
Redbridge,E09000026,2021-05-18,8,33084
Richmond upon Thames,E09000027,2021-05-18,2,10959
Southwark,E09000028,2021-05-18,5,22577
Sutton,E09000029,2021-05-18,2,16016
Tower Hamlets,E09000030,2021-05-18,11,29067
Waltham Forest,E09000031,2021-05-18,6,25045
Wandsworth,E09000032,2021-05-18,14,22387
Westminster,E09000033,2021-05-18,9,14412
Barking and Dagenham,E09000002,2021-05-19,4,23706
Barnet,E09000003,2021-05-19,13,30668
Bexley,E09000004,2021-05-19,4,22494
Brent,E09000005,2021-05-19,13,28872
Bromley,E09000006,2021-05-19,17,24537
Camden,E09000007,2021-05-19,2,14231
Croydon,E09000008,2021-05-19,25,31199
Ealing,E09000009,2021-05-19,33,31577
Enfield,E09000010,2021-05-19,7,29927
Greenwich,E09000011,2021-05-19,16,22605
Hackney and City of London,E09000012,2021-05-19,8,21801
Hammersmith and Fulham,E09000013,2021-05-19,4,13148
Haringey,E09000014,2021-05-19,5,20957
Harrow,E09000015,2021-05-19,7,21066
Havering,E09000016,2021-05-19,9,26975
Hillingdon,E09000017,2021-05-19,22,26943
Hounslow,E09000018,2021-05-19,32,25316
Islington,E09000019,2021-05-19,2,15112
Kensington and Chelsea,E09000020,2021-05-19,3,9152
Kingston upon Thames,E09000021,2021-05-19,12,12405
Lambeth,E09000022,2021-05-19,26,24477
Lewisham,E09000023,2021-05-19,3,21820
Merton,E09000024,2021-05-19,8,16355
Newham,E09000025,2021-05-19,15,35756
Redbridge,E09000026,2021-05-19,3,33087
Richmond upon Thames,E09000027,2021-05-19,5,10964
Southwark,E09000028,2021-05-19,1,22578
Sutton,E09000029,2021-05-19,5,16021
Tower Hamlets,E09000030,2021-05-19,5,29072
Waltham Forest,E09000031,2021-05-19,9,25054
Wandsworth,E09000032,2021-05-19,10,22397
Westminster,E09000033,2021-05-19,10,14422
Barking and Dagenham,E09000002,2021-05-20,1,23707
Barnet,E09000003,2021-05-20,3,30671
Bexley,E09000004,2021-05-20,9,22503
Brent,E09000005,2021-05-20,13,28885
Bromley,E09000006,2021-05-20,7,24544
Camden,E09000007,2021-05-20,3,14234
Croydon,E09000008,2021-05-20,33,31232
Ealing,E09000009,2021-05-20,17,31594
Enfield,E09000010,2021-05-20,12,29939
Greenwich,E09000011,2021-05-20,14,22619
Hackney and City of London,E09000012,2021-05-20,8,21809
Hammersmith and Fulham,E09000013,2021-05-20,3,13151
Haringey,E09000014,2021-05-20,5,20962
Harrow,E09000015,2021-05-20,10,21076
Havering,E09000016,2021-05-20,3,26978
Hillingdon,E09000017,2021-05-20,25,26968
Hounslow,E09000018,2021-05-20,22,25338
Islington,E09000019,2021-05-20,6,15118
Kensington and Chelsea,E09000020,2021-05-20,7,9159
Kingston upon Thames,E09000021,2021-05-20,11,12416
Lambeth,E09000022,2021-05-20,21,24498
Lewisham,E09000023,2021-05-20,9,21829
Merton,E09000024,2021-05-20,4,16359
Newham,E09000025,2021-05-20,7,35763
Redbridge,E09000026,2021-05-20,15,33102
Richmond upon Thames,E09000027,2021-05-20,2,10966
Southwark,E09000028,2021-05-20,5,22583
Sutton,E09000029,2021-05-20,7,16028
Tower Hamlets,E09000030,2021-05-20,6,29078
Waltham Forest,E09000031,2021-05-20,3,25057
Wandsworth,E09000032,2021-05-20,11,22408
Westminster,E09000033,2021-05-20,13,14435
Barking and Dagenham,E09000002,2021-05-21,4,23711
Barnet,E09000003,2021-05-21,6,30677
Bexley,E09000004,2021-05-21,4,22507
Brent,E09000005,2021-05-21,10,28895
Bromley,E09000006,2021-05-21,8,24552
Camden,E09000007,2021-05-21,3,14237
Croydon,E09000008,2021-05-21,15,31247
Ealing,E09000009,2021-05-21,23,31617
Enfield,E09000010,2021-05-21,10,29949
